"Chronic Absenteeism, 2013-14",,,,
"All Districts, All Schools, All Students",,,,
,,,,
District,District Code,School,School Code,% Chronically Absent
Connecticut Technical High School System,9000016,H. C. Wilcox Technical High School,9001716,13.1
Connecticut Technical High School System,9000016,H. H. Ellis Technical High School,9001316,13.3
Connecticut Technical High School System,9000016,Henry Abbott Technical High School,9001216,9.3
Connecticut Technical High School System,9000016,Howell Cheney Technical High School,9001616,11.6
Connecticut Technical High School System,9000016,Norwich Technical High School,9002016,4.8
Connecticut Technical High School System,9000016,Oliver Wolcott Technical High School,9002216,13.7
Connecticut Technical High School System,9000016,Platt Technical High School,9002616,9
Connecticut Technical High School System,9000016,Vinal Technical High School,9001816,12
Connecticut Technical High School System,9000016,W. F. Kaynor Technical High School,9002316,7.9
Connecticut Technical High School System,9000016,Windham Technical High School,9002416,9.1
Cooperative Educational Services,2430014,Developmental Learning Center (DLC),2439214,17.2
Cooperative Educational Services,2430014,Preschool-Primary Learning Center (PLC),2439114,*
Cooperative Educational Services,2430014,RISE Transitional Program,2439314,*
Cooperative Educational Services,2430014,Six-Six Magnet School,2430114,5
Cooperative Educational Services,2430014,Therapeutic Day Program,2439414,39.4
Cornwall School District,0310011,Cornwall Consolidated School,0310111,*
Coventry School District,0320011,Capt. Nathan Hale School,0325111,5.9
Coventry School District,0320011,Coventry Grammar School,0320211,3.8
Coventry School District,0320011,Coventry High School,0326111,7.3
Coventry School District,0320011,George Hersey Robertson School,0320411,3.1
Cromwell School District,0330011,Cromwell High School,0336111,11.1
Cromwell School District,0330011,Cromwell Middle School,0335111,4.1
Cromwell School District,0330011,Edna C. Stevens School,0330211,2.7
Cromwell School District,0330011,Woodside Intermediate School,0330311,1.9
Danbury School District,0340011,Alternative Center For Excellence,0346211,21.4
Danbury School District,0340011,Broadview Middle School,0345111,6.4
Danbury School District,0340011,Danbury High School,0346111,5.1
Danbury School District,0340011,Ellsworth Avenue School,0341411,3.8
Danbury School District,0340011,Great Plain School,0341111,3.6
Danbury School District,0340011,Hayestown Avenue School,0340211,8.2
Danbury School District,0340011,King Street Intermediate School,0341711,6.4
Danbury School District,0340011,King Street Primary School,0341311,4.9
Danbury School District,0340011,Mill Ridge Primary School,0340511,6.3
Danbury School District,0340011,Morris Street School,0340611,5.6
Danbury School District,0340011,Park Avenue School,0340811,6.2
Danbury School District,0340011,Pembroke School,0341511,7.5
Danbury School District,0340011,Rogers Park Middle School,0345211,8.1
Danbury School District,0340011,Shelter Rock School,0341211,6.3
Danbury School District,0340011,South Street School,0341011,5.7
Danbury School District,0340011,Stadley Rough School,0341611,7
Danbury School District,0340011,Western CT Academy of International Studies Elementary Magnet School,0341911,2.2
Darien School District,0350011,Darien High School,0356111,4.5
Darien School District,0350011,Hindley Elementary School,0350211,1.8
Darien School District,0350011,Holmes Elementary School,0350711,*
Darien School District,0350011,Middlesex Middle School,0355111,5.3
Darien School District,0350011,Ox Ridge Elementary School,0351311,3.3
Darien School District,0350011,Royle Elementary School,0350511,2.1
Darien School District,0350011,Tokeneke Elementary School,0350611,2.5
Deep River School District,0360011,Deep River Elementary School,0360111,2.2
Department of Mental Health and Addiction Services,3370015,Connecticut Valley Hospital,3370215,*
Department of Mental Health and Addiction Services,3370015,Greater Bridgeport Community Mental Health Center,3370515,*
Derby School District,0370011,Bradley School,0370611,7.4
Derby School District,0370011,Derby High School,0376111,23.1
Derby School District,0370011,Derby Middle School,0375011,18.2
Derby School District,0370011,Irving School,0370411,16.1
East Granby School District,0400011,Allgrove School,0400111,5.7
East Granby School District,0400011,East Granby High School,0406111,5
East Granby School District,0400011,East Granby Middle School,0405111,4.3
East Granby School District,0400011,R. Dudley Seymour School,0400211,5.9
East Haddam School District,0410011,East Haddam Elementary School,0410111,3.9
East Haddam School District,0410011,Nathan Hale-Ray High School,0416111,10.6
East Haddam School District,0410011,Nathan Hale-Ray Middle School,0415111,4.3
East Hampton School District,0420011,Center School,0420311,7
East Hampton School District,0420011,East Hampton High School,0426111,6.9
East Hampton School District,0420011,East Hampton Middle School,0425111,6.6
East Hampton School District,0420011,Memorial School,0420111,6.4
East Hampton School District,0420011,The Learning Center at East Hampton,0429011,*
East Hartford School District,0430011,Anna E. Norris School,0430911,17.1
East Hartford School District,0430011,Connecticut IB Academy,0436311,0
East Hartford School District,0430011,Dr. Franklin H. Mayberry School,0430611,14.7
East Hartford School District,0430011,Dr. John A. Langford School,0432211,17.4
East Hartford School District,0430011,Dr. Thomas S. O'Connell School,0431011,7
East Hartford School District,0430011,East Hartford High School,0436211,4.6
East Hartford School District,0430011,East Hartford Middle School,0435111,15.4
East Hartford School District,0430011,Governor William Pitkin School,0432011,6.9
East Hartford School District,0430011,Hockanum School,0430511,13.8
East Hartford School District,0430011,Joseph O. Goodwin School,0430411,11.4
East Hartford School District,0430011,Robert J. O'Brien School,0431811,14
East Hartford School District,0430011,Silver Lane School,0431211,20
East Hartford School District,0430011,Stevens Alternate High school,0436411,63.3
East Hartford School District,0430011,Sunset Ridge School Elementary Academy for Arts and World Languages,0432411,5.3
East Hartford School District,0430011,Woodland School,0439011,54.2
East Haven School District,0440011,Carbone School/East Haven Academy,0441711,16.8
East Haven School District,0440011,D. C. Moore School,0441411,8.1
East Haven School District,0440011,Deer Run School,0440111,9
East Haven School District,0440011,Dominick H. Ferrara School,0441311,9.4
East Haven School District,0440011,East Haven High School,0446111,22.5
East Haven School District,0440011,Grove J. Tuttle School,0441011,*
East Haven School District,0440011,Joseph Melillo Middle School,0445111,0
East Haven School District,0440011,Momauguin School,0440711,11.4
East Haven School District,0440011,Overbrook Elementary School,0441811,8.9
East Haven School District,0440011,Pathways,0449011,47.1
East Lyme School District,0450011,East Lyme High School,0456111,4.7
East Lyme School District,0450011,East Lyme Middle School,0455111,7.1
East Lyme School District,0450011,Flanders School,0450111,2.8
East Lyme School District,0450011,Lillie B. Haynes School,0450411,5.3
East Lyme School District,0450011,Niantic Center School,0450211,*
East Windsor School District,0470011,Broad Brook Elementary School,0470111,12.1
East Windsor School District,0470011,East Windsor High School,0476111,9.7
East Windsor School District,0470011,East Windsor Middle School,0475411,9.7
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Arts at the Capitol Theater Magnet School (ACT),2536014,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,EASTCONN Special Education,2539014,0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Quinebaug Middle College,2536114,*
Eastford School District,0390011,Eastford Elementary School,0390111,5.2
Easton School District,0460011,Helen Keller Middle School,0465111,*
Easton School District,0460011,Samuel Staples Elementary School,0460111,2.4
Education Connection,2420014,Education Connection Special Education,2429014,58.3
Ellington School District,0480011,Center School,0480111,2.9
Ellington School District,0480011,Crystal Lake School,0480211,*
Ellington School District,0480011,Ellington High School,0486111,4
Ellington School District,0480011,Ellington Middle School,0485111,5.4
Ellington School District,0480011,Windermere Intermediate School,0480711,3.4
Ellington School District,0480011,Windermere School,0480611,3.9
Elm City College Preparatory School District,2890013,Elm City College Preparatory School,2890113,4.6
Enfield School District,0490011,Edgar H. Parkman School,0491311,6.8
Enfield School District,0490011,Eli Whitney School,0491611,8.4
Enfield School District,0490011,Enfield High School,0496111,13.6
Enfield School District,0490011,Enfield Street School,0490211,13.2
Enfield School District,0490011,Enfield Transitional Learning Academy,0499011,*
Enfield School District,0490011,Enrico Fermi High School,0496211,11.1
Enfield School District,0490011,Hazardville Memorial School,0490411,9.9
Enfield School District,0490011,Henry Barnard School,0491811,9.8
Enfield School District,0490011,John F. Kennedy Middle School,0495211,17
Enfield School District,0490011,Nathan Hale School,0491111,9.3
Enfield School District,0490011,Prudence Crandall School,0491511,6.8
Essex School District,0500011,Essex Elementary School,0500111,2.4
Explorations District,2720013,Explorations,2726113,29.1
Fairfield School District,0510011,Burr Elementary School,0510211,2.6
Fairfield School District,0510011,Dwight Elementary School,0510111,2.6
Fairfield School District,0510011,Fairfield Ludlowe High School,0516011,3.8
Fairfield School District,0510011,Fairfield Warde High School,0516211,3.2
Fairfield School District,0510011,Fairfield Woods Middle School,0515211,4.9
Fairfield School District,0510011,Holland Hill School,0510411,4.2
Fairfield School District,0510011,Jennings School,0511711,3.4
Fairfield School District,0510011,McKinley School,0510611,4.9
Fairfield School District,0510011,Mill Hill School,0510711,*
Fairfield School District,0510011,North Stratfield School,0511611,1.5
Fairfield School District,0510011,Osborn Hill School,0511811,3.2
Fairfield School District,0510011,Riverfield School,0511211,2.5
Fairfield School District,0510011,Roger Ludlowe Middle School,0515311,5.4
Fairfield School District,0510011,Sherman School,0511311,2
Fairfield School District,0510011,Stratfield School,0511411,2.4
Fairfield School District,0510011,Tomlinson Middle School,0515111,5.3
Farmington School District,0520011,East Farms School,0520411,3.1
Farmington School District,0520011,Farmington High School,0526111,9.9
Farmington School District,0520011,Irving A. Robbins Middle School,0525111,3.7
Farmington School District,0520011,Noah Wallace School,0520211,6.1
Farmington School District,0520011,Union School,0520111,4.7
Farmington School District,0520011,West District School,0520311,4.9
Farmington School District,0520011,West Woods Upper Elementary School,0520511,5.1
Franklin School District,0530011,Franklin Elementary School,0530111,*
Glastonbury School District,0540011,Buttonball Lane School,0540211,2.6
Glastonbury School District,0540011,Eastbury School,0540311,*
Glastonbury School District,0540011,Gideon Welles School,0540811,*
Glastonbury School District,0540011,Glastonbury High School,0546111,4.2
Glastonbury School District,0540011,Hebron Avenue School,0540411,*
Glastonbury School District,0540011,Hopewell School,0540611,2.5
Glastonbury School District,0540011,LINKS Academy,0540111,30
Glastonbury School District,0540011,Naubuc School,0540711,3.4
Glastonbury School District,0540011,Nayaug Elementary School,0540911,1.3
Glastonbury School District,0540011,Smith Middle School,0545211,2
Granby School District,0560011,Frank M. Kearns Primary School,0560111,*
Granby School District,0560011,Granby Memorial High School,0566111,6.1
Granby School District,0560011,Granby Memorial Middle School,0565111,3.9
Granby School District,0560011,Kelly Lane Intermediate School,0560411,4.8
Granby School District,0560011,Wells Road Intermediate School,0560311,4.9
Greenwich School District,0570011,Central Middle School,0575111,5.5
Greenwich School District,0570011,Cos Cob School,0570211,4.5
Greenwich School District,0570011,Eastern Middle School,0575211,3.5
Greenwich School District,0570011,Glenville School,0570411,5
Greenwich School District,0570011,Greenwich High School,0576111,4.5
Greenwich School District,0570011,Hamilton Avenue School,0570511,5.7
Greenwich School District,0570011,International School At Dundee,0571311,2.7
Greenwich School District,0570011,Julian Curtiss School,0570311,5.8
Greenwich School District,0570011,New Lebanon School,0570611,5.6
Greenwich School District,0570011,North Mianus School,0570711,3.5
Greenwich School District,0570011,North Street School,0570811,4.1
Greenwich School District,0570011,Old Greenwich School,0570911,4
Greenwich School District,0570011,Parkway School,0571111,4.1
Greenwich School District,0570011,Riverside School,0571011,3.8
Greenwich School District,0570011,Western Middle School,0575311,8.9
Griswold School District,0580011,Griswold Elementary School,0580311,7.3
Griswold School District,0580011,Griswold High School,0586211,15.4
Griswold School District,0580011,Griswold Middle School,0585111,8.9
Groton School District,0590011,Carl C. Cutler Middle School,0595311,5.9
Groton School District,0590011,Catherine Kolnaski Magnet School,0592011,11.9
Groton School District,0590011,Charles Barnum School,0591811,7.6
Groton School District,0590011,Claude Chester School,0590311,11.5
Groton School District,0590011,Mary Morrisson School,0591711,9.1
Groton School District,0590011,Northeast Academy Elementary School,0591911,4.9
Groton School District,0590011,Pleasant Valley School,0591211,9.8
Groton School District,0590011,Robert E. Fitch High School,0596111,21.8
Groton School District,0590011,S. B. Butler School,0590111,5.1
Groton School District,0590011,West Side Middle School,0595211,9.7
Guilford School District,0600011,A. Baldwin Middle School,0600711,5.8
Guilford School District,0600011,A. W. Cox School,0600611,2.6
Guilford School District,0600011,Calvin Leete School,0600411,2.4
Guilford School District,0600011,E. C. Adams Middle School,0605111,6.5
Guilford School District,0600011,Guilford High School,0606111,7.8
Guilford School District,0600011,Guilford Lakes School,0600211,6.3
Guilford School District,0600011,Melissa Jones School,0600311,3.8
Hamden School District,0620011,Alice Peck Learning Center,0628011,*
Hamden School District,0620011,Bear Path School,0621211,4.9
Hamden School District,0620011,Church Street School,0620211,12.3
Hamden School District,0620011,Dunbar Hill School,0620311,6
Hamden School District,0620011,Hamden High School,0626111,21.7
Hamden School District,0620011,Hamden Middle School,0625211,18.2
Hamden School District,0620011,Helen Street School,0620411,11.5
Hamden School District,0620011,Ridge Hill School,0621111,12.5
Hamden School District,0620011,Shepherd Glen School,0620111,14.8
Hamden School District,0620011,Spring Glen School,0621011,6.1
Hamden School District,0620011,West Woods School,0621411,5.2
Hampton School District,0630011,Hampton Elementary School,0630111,*
Hartford School District,0640011,Asian Studies Academy,0640711,28.2
Hartford School District,0640011,Batchelder School,0640411,27.5
Hartford School District,0640011,Breakthrough II Elementary School,0643511,*
Hartford School District,0640011,Breakthrough Magnet School,0643311,4.6
Hartford School District,0640011,Bulkeley High School Lower School,0646111,41.3
Hartford School District,0640011,Bulkeley High School Upper School,0647111,52.2
Hartford School District,0640011,Burns Latino Studies Academy,0640611,32.1
Hartford School District,0640011,Burr School,0642311,27.4
Hartford School District,0640011,Capital Preparatory Magnet School,0646911,11.9
Hartford School District,0640011,Clark School,0642411,37.7
Hartford School District,0640011,Classical Magnet School,0646411,4.6
Hartford School District,0640011,Culinary Arts Academy,0646011,58.2
Hartford School District,0640011,Dr. James H Naylor/CCSU Leadership Academy,0641411,22.5
Hartford School District,0640011,Dr. Ramon E. Betances Early Reading Lab,0642811,36.1
Hartford School District,0640011,Environmental Sciences Magnet School at Mary M Hooker,0640911,9.6
Hartford School District,0640011,Expeditionary Learning Academy at Moylan School,0643211,1.6
Hartford School District,0640011,Fred D. Wish Museum School,0642211,26.4
Hartford School District,0640011,Global Communications Academy,0643611,17.6
Hartford School District,0640011,Great Path Academy High School at MCC,0647911,12.3
Hartford School District,0640011,HPHS Academy of Engineering and Green Technology,0647211,61.1
Hartford School District,0640011,HPHS Academy of Nursing and Health Science,0647511,67.2
Hartford School District,0640011,HPHS Law and Government Academy,0647411,50.3
Hartford School District,0640011,Hartford Magnet Trinity College Academy,0645411,7.3
Hartford School District,0640011,Hartford Transitional Learning Academy (Elementary),0649011,65.1
Hartford School District,0640011,High School Inc.,0647611,53.2
Hartford School District,0640011,Journalism and Media Academy Magnet School,0647711,49.1
Hartford School District,0640011,Kennelly School,0641011,22.2
Hartford School District,0640011,M. D. Fox Elementary School,0640811,35.4
Hartford School District,0640011,M. L. King School,0641611,25.9
Hartford School District,0640011,McDonough Expeditionary Learning School,0641211,38.2
Hartford School District,0640011,Milner Elementary School,0641911,40.9
Hartford School District,0640011,Montessori Magnet School at Annie Fisher,0643711,6.5
Hartford School District,0640011,Montessori Magnet at Moylan School,0640511,9.3
Hartford School District,0640011,Noah Webster Micro Society School,0642011,6.4
Hartford School District,0640011,OPPortunity High School,0647811,69.7
Hartford School District,0640011,Parkville Community School,0641511,26.2
Hartford School District,0640011,Pathways Academy of Technology and Design,0646611,16.2
Hartford School District,0640011,R.J. Kinsella Magnet School of Performing Arts,0641111,14.1
Hartford School District,0640011,Renzulli Academy,0644011,12.1
Hartford School District,0640011,SAND School,0640111,47.5
Hartford School District,0640011,STEM Magnet School at Annie Fisher,0642511,2.8
Hartford School District,0640011,STEM Magnet School at Dwight,0643811,14.1
Hartford School District,0640011,Sanchez School,0643011,27.1
Hartford School District,0640011,Sarah J. Rawson Elementary School,0641711,20.4
Hartford School District,0640011,Simpson-Waverly School,0642611,43.2
Hartford School District,0640011,Sports and Medical Sciences Academy,0646511,19.7
Hartford School District,0640011,University High of Science and Engineering,0646711,10.8
Hartford School District,0640011,West Middle School,0642111,26.1
Hartland School District,0650011,Hartland School,0650111,*
Hebron School District,0670011,Gilead Hill School,0670211,*
Hebron School District,0670011,Hebron Elementary School,0670111,1.9
Highville Charter School District,2860013,Highville Charter School,2860113,2.9
Integrated Day Charter School District,2640013,Integrated Day Charter School,2640113,6.1
Interdistrict School for Arts and Comm District,2650013,Interdistrict School For Arts And Communication,2655113,11.2
Jumoke Academy District,2610013,Jumoke Academy,2610113,6.2
Kent School District,0680011,Kent Center School,0680111,2.7
Killingly School District,0690011,Killingly Central School,0690111,7.6
Killingly School District,0690011,Killingly High School,0696111,19.1
Killingly School District,0690011,Killingly Intermediate School,0695211,10.4
Killingly School District,0690011,Killingly Memorial School,0690311,8.2
Learn,2450014,Connecticut River Academy,2456014,28.8
Learn,2450014,Dual Language & Arts Magnet Middle School,2455014,8.3
Learn,2450014,Goodwin College Early Childhood Interdistrict Magnet School,2450314,40.7
Learn,2450014,Learn Special Education,2459014,22.2
Learn,2450014,Marine Science Magnet High School of Southeastern Connecticut,2456114,7.8
Learn,2450014,Regional Multicultural Magnet School,2450114,7.3
Learn,2450014,The Friendship School,2450214,8
Learn,2450014,Three Rivers Middle College Magnet School,2456214,54.2
Lebanon School District,0710011,Lebanon Elementary School,0710111,0
Lebanon School District,0710011,Lebanon Middle School,0715111,0
Lebanon School District,0710011,Lyman Memorial High School,0716211,19.5
Ledyard School District,0720011,Gales Ferry School,0720211,*
Ledyard School District,0720011,Gallup Hill School,0720411,6.1
Ledyard School District,0720011,Juliet W. Long School,0720311,*
