"Chronic Absenteeism, 2011-12",,,,
"All Districts, All Schools, All Students",,,,
,,,,
District,District Code,School,School Code,% Chronically Absent
Capitol Region Education Council,2410014,Glastonbury/East Hartford Magnet School,2410114,6.9
Capitol Region Education Council,2410014,Great Path Academy at MCC,2416314,14.5
Capitol Region Education Council,2410014,Greater Hartford Academy of  the Arts High School - Full Time,2416414,53.9
Capitol Region Education Council,2410014,Integrated Program Models,2419414,*
Capitol Region Education Council,2410014,International Magnet School for Global Citizenship,2410414,9.2
Capitol Region Education Council,2410014,John J. Allison Polaris Center,2419014,56.7
Capitol Region Education Council,2410014,Lincoln Academy Regional Interdistrict Collaborative,2419614,*
Capitol Region Education Council,2410014,Medical Professions and Teacher Preparation Academy,2416514,9.3
Capitol Region Education Council,2410014,Metropolitan Learning Center for Global and International Studies,2416114,7.6
Capitol Region Education Council,2410014,Montessori Magnet School,2413114,3.8
Capitol Region Education Council,2410014,Museum Academy,2410514,8.4
Capitol Region Education Council,2410014,Public Safety Academy,2415214,23.6
Capitol Region Education Council,2410014,Reggio Magnet School of the Arts,2410314,14.7
Capitol Region Education Council,2410014,River Street Early Learning Center (Site 2),2419514,*
Capitol Region Education Council,2410014,River Street School,2419314,14.7
Capitol Region Education Council,2410014,Soundbridge,2419114,*
Capitol Region Education Council,2410014,Two Rivers Magnet Middle School,2415014,4.8
Capitol Region Education Council,2410014,University of Hartford Magnet School,2410214,*
Chaplin School District,0240011,Chaplin Elementary School,0240211,9.6
Cheshire School District,0250011,Chapman School,0250111,2
Cheshire School District,0250011,Cheshire High School,0256111,7.9
Cheshire School District,0250011,Darcey School,0250211,9.2
Cheshire School District,0250011,Dodd Middle School,0255111,5.6
Cheshire School District,0250011,Doolittle School,0250611,3.3
Cheshire School District,0250011,Highland School,0250411,2.8
Cheshire School District,0250011,Humiston School,0259011,29.6
Cheshire School District,0250011,Norton School,0250511,2.3
Chester School District,0260011,Chester Elementary School,0260111,*
Clinton School District,0270011,Abraham Pierson School,0270111,*
Clinton School District,0270011,Jared Eliot School,0275111,7.9
Clinton School District,0270011,Lewin G. Joel Jr. School,0270311,6.4
Clinton School District,0270011,The Morgan School,0276111,21.4
Colchester School District,0280011,Bacon Academy,0286111,1.3
Colchester School District,0280011,Colchester Elementary School,0280411,2.3
Colchester School District,0280011,Jack Jackter Intermediate School,0280211,0.9
Colchester School District,0280011,William J. Johnston Middle School,0285111,5.3
Colebrook School District,0290011,Colebrook Consolidated School,0290111,*
Columbia School District,0300011,Horace W. Porter School,0300111,6.9
Common Ground High School District,2680013,Common Ground High School,2686113,12.8
Connecticut Technical High School System,9000016,A. I. Prince Technical High School,9001516,17.9
Connecticut Technical High School System,9000016,Bullard-Havens Technical High School,9001116,14.3
Connecticut Technical High School System,9000016,E. C. Goodwin Technical High School,9001916,9
Connecticut Technical High School System,9000016,Eli Whitney Technical High School,9001416,18.6
Connecticut Technical High School System,9000016,Ella T. Grasso Southeastern Technical High School,9002716,8.9
Connecticut Technical High School System,9000016,Emmett O'Brien Technical High School,9002516,17.3
Connecticut Technical High School System,9000016,H. C. Wilcox Technical High School,9001716,6.7
Connecticut Technical High School System,9000016,H. H. Ellis Technical High School,9001316,10.6
Connecticut Technical High School System,9000016,Henry Abbott Technical High School,9001216,2.4
Connecticut Technical High School System,9000016,Howell Cheney Technical High School,9001616,11.5
Connecticut Technical High School System,9000016,Norwich Technical High School,9002016,5.5
Connecticut Technical High School System,9000016,Oliver Wolcott Technical High School,9002216,12.9
Connecticut Technical High School System,9000016,Platt Technical High School,9002616,7.6
Connecticut Technical High School System,9000016,Vinal Technical High School,9001816,11.6
Connecticut Technical High School System,9000016,W. F. Kaynor Technical High School,9002316,4.7
Connecticut Technical High School System,9000016,Windham Technical High School,9002416,6
Cooperative Educational Services,2430014,Developmental Learning Center (DLC),2439214,13.2
Cooperative Educational Services,2430014,Preschool-Primary Learning Center (PLC),2439114,*
Cooperative Educational Services,2430014,RISE Transitional Program,2439314,*
Cooperative Educational Services,2430014,Six-Six Magnet School,2430114,9.2
Cooperative Educational Services,2430014,Therapeutic Day Program,2439414,39.8
Cornwall School District,0310011,Cornwall Consolidated School,0310111,5.7
Coventry School District,0320011,Capt. Nathan Hale School,0325111,4.8
Coventry School District,0320011,Coventry Grammar School,0320211,5.5
Coventry School District,0320011,Coventry High School,0326111,10.3
Coventry School District,0320011,George Hersey Robertson School,0320411,*
Cromwell School District,0330011,Cromwell High School,0336111,7.8
Cromwell School District,0330011,Cromwell Middle School,0335111,6.2
Cromwell School District,0330011,Edna C. Stevens School,0330211,5.4
Cromwell School District,0330011,Woodside Intermediate School,0330311,5
Danbury School District,0340011,Alternative Center For Excellence,0346211,66.2
Danbury School District,0340011,Broadview Middle School,0345111,10.4
Danbury School District,0340011,Danbury High School,0346111,25.2
Danbury School District,0340011,Ellsworth Avenue School,0341411,*
Danbury School District,0340011,Great Plain School,0341111,5.3
Danbury School District,0340011,Hayestown Avenue School,0340211,7.9
Danbury School District,0340011,King Street Intermediate School,0341711,*
Danbury School District,0340011,King Street Primary School,0341311,4.9
Danbury School District,0340011,Mill Ridge Primary School,0340511,7
Danbury School District,0340011,Morris Street School,0340611,4.4
Danbury School District,0340011,Park Avenue School,0340811,7.9
Danbury School District,0340011,Pembroke School,0341511,6.5
Danbury School District,0340011,Rogers Park Middle School,0345211,11
Danbury School District,0340011,Shelter Rock School,0341211,7.4
Danbury School District,0340011,South Street School,0341011,5.1
Danbury School District,0340011,Stadley Rough School,0341611,6.3
Danbury School District,0340011,Western CT Academy of International Studies Elementary Magnet School,0341911,3.6
Darien School District,0350011,Darien High School,0356111,6.3
Darien School District,0350011,Hindley Elementary School,0350211,2.8
Darien School District,0350011,Holmes Elementary School,0350711,*
Darien School District,0350011,Middlesex Middle School,0355111,4.6
Darien School District,0350011,Ox Ridge Elementary School,0351311,3
Darien School District,0350011,Royle Elementary School,0350511,3.4
Darien School District,0350011,Tokeneke Elementary School,0350611,2.9
Deep River School District,0360011,Deep River Elementary School,0360111,*
Department of Mental Health and Addiction Services,3370015,Connecticut Valley Hospital,3370215,*
Department of Mental Health and Addiction Services,3370015,Greater Bridgeport Community Mental Health Center,3370515,*
Derby School District,0370011,Bradley School,0370611,7.2
Derby School District,0370011,Derby High School,0376111,18.6
Derby School District,0370011,Derby Middle School,0375011,13.3
Derby School District,0370011,Irving School,0370411,12.4
East Granby School District,0400011,Allgrove School,0400111,4.8
East Granby School District,0400011,East Granby High School,0406111,9.4
East Granby School District,0400011,East Granby Middle School,0405111,*
East Granby School District,0400011,R. Dudley Seymour School,0400211,*
East Haddam School District,0410011,East Haddam Elementary School,0410111,6.5
East Haddam School District,0410011,Nathan Hale-Ray High School,0416111,11.1
East Haddam School District,0410011,Nathan Hale-Ray Middle School,0415111,5.8
East Hampton School District,0420011,Center School,0420311,*
East Hampton School District,0420011,East Hampton High School,0426111,6.9
East Hampton School District,0420011,East Hampton Middle School,0425111,6.2
East Hampton School District,0420011,Memorial School,0420111,5.2
East Hampton School District,0420011,The Learning Center at East Hampton,0429011,*
East Hartford School District,0430011,Anna E. Norris School,0430911,12.5
East Hartford School District,0430011,Connecticut IB Academy,0436311,*
East Hartford School District,0430011,Dr. Franklin H. Mayberry School,0430611,11.4
East Hartford School District,0430011,Dr. John A. Langford School,0432211,2
East Hartford School District,0430011,Dr. Thomas S. O'Connell School,0431011,2.9
East Hartford School District,0430011,East Hartford High School,0436211,20
East Hartford School District,0430011,East Hartford Middle School,0435111,6.8
East Hartford School District,0430011,Governor William Pitkin School,0432011,6.1
East Hartford School District,0430011,Hockanum School,0430511,16.2
East Hartford School District,0430011,Joseph O. Goodwin School,0430411,6.5
East Hartford School District,0430011,Robert J. O'Brien School,0431811,5
East Hartford School District,0430011,Silver Lane School,0431211,*
East Hartford School District,0430011,Stevens Alternate High school,0436411,13.5
East Hartford School District,0430011,Sunset Ridge School Elementary Academy for Arts and World Languages,0432411,2.3
East Hartford School District,0430011,Woodland School,0439011,6.1
East Haven School District,0440011,Carbone School/East Haven Academy,0441711,8.1
East Haven School District,0440011,D. C. Moore School,0441411,6.9
East Haven School District,0440011,Deer Run School,0440111,10.4
East Haven School District,0440011,Dominick H. Ferrara School,0441311,6.1
East Haven School District,0440011,East Haven High School,0446111,28.2
East Haven School District,0440011,Grove J. Tuttle School,0441011,*
East Haven School District,0440011,Joseph Melillo Middle School,0445111,17.2
East Haven School District,0440011,Momauguin School,0440711,17.9
East Haven School District,0440011,Overbrook Elementary School,0441811,12.1
East Haven School District,0440011,Pathways,0449011,95.7
East Lyme School District,0450011,East Lyme High School,0456111,8.3
East Lyme School District,0450011,East Lyme Middle School,0455111,5.1
East Lyme School District,0450011,Flanders School,0450111,*
East Lyme School District,0450011,Lillie B. Haynes School,0450411,5
East Lyme School District,0450011,Niantic Center School,0450211,*
East Windsor School District,0470011,Broad Brook Elementary School,0470111,10.7
East Windsor School District,0470011,East Windsor High School,0476111,14.4
East Windsor School District,0470011,East Windsor Middle School,0475411,9.8
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Arts at the Capitol Theater Magnet School (ACT),2536014,24.6
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,EASTCONN Special Education,2539014,31.3
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Quinebaug Middle College,2536114,5.9
Eastford School District,0390011,Eastford Elementary School,0390111,*
Easton School District,0460011,Helen Keller Middle School,0465111,*
Easton School District,0460011,Samuel Staples Elementary School,0460111,4.4
Education Connection,2420014,Education Connection Special Education,2429014,50
Ellington School District,0480011,Center School,0480111,3.4
Ellington School District,0480011,Crystal Lake School,0480211,*
Ellington School District,0480011,Ellington High School,0486111,4.5
Ellington School District,0480011,Ellington Middle School,0485111,8.1
Ellington School District,0480011,Windermere Intermediate School,0480711,3.1
Ellington School District,0480011,Windermere School,0480611,4.1
Elm City College Preparatory School District,2890013,Elm City College Preparatory School,2890113,1.6
Enfield School District,0490011,Edgar H. Parkman School,0491311,4.7
Enfield School District,0490011,Eli Whitney School,0491611,8.7
Enfield School District,0490011,Enfield High School,0496111,16.2
Enfield School District,0490011,Enfield Street School,0490211,10.5
Enfield School District,0490011,Enfield Transitional Learning Academy,0499011,*
Enfield School District,0490011,Enrico Fermi High School,0496211,12.6
Enfield School District,0490011,Hazardville Memorial School,0490411,11.1
Enfield School District,0490011,Henry Barnard School,0491811,10.2
Enfield School District,0490011,John F. Kennedy Middle School,0495211,14.1
Enfield School District,0490011,Nathan Hale School,0491111,6.5
Enfield School District,0490011,Prudence Crandall School,0491511,7.5
Essex School District,0500011,Essex Elementary School,0500111,*
Explorations District,2720013,Explorations,2726113,20.3
Fairfield School District,0510011,Burr Elementary School,0510211,2.2
Fairfield School District,0510011,Dwight Elementary School,0510111,2.4
Fairfield School District,0510011,Fairfield Ludlowe High School,0516011,7.4
Fairfield School District,0510011,Fairfield Warde High School,0516211,7.4
Fairfield School District,0510011,Fairfield Woods Middle School,0515211,5.5
Fairfield School District,0510011,Holland Hill School,0510411,2.8
Fairfield School District,0510011,Jennings School,0511711,2.8
Fairfield School District,0510011,McKinley School,0510611,7.7
Fairfield School District,0510011,Mill Hill School,0510711,*
Fairfield School District,0510011,North Stratfield School,0511611,1.2
Fairfield School District,0510011,Osborn Hill School,0511811,3.5
Fairfield School District,0510011,Riverfield School,0511211,2.2
Fairfield School District,0510011,Roger Ludlowe Middle School,0515311,7.9
Fairfield School District,0510011,Sherman School,0511311,2.2
Fairfield School District,0510011,Stratfield School,0511411,1.8
Fairfield School District,0510011,Tomlinson Middle School,0515111,7.8
Farmington School District,0520011,East Farms School,0520411,3.6
Farmington School District,0520011,Farmington High School,0526111,8
Farmington School District,0520011,Irving A. Robbins Middle School,0525111,5.8
Farmington School District,0520011,Noah Wallace School,0520211,*
Farmington School District,0520011,Union School,0520111,4.4
Farmington School District,0520011,West District School,0520311,3.7
Farmington School District,0520011,West Woods Upper Elementary School,0520511,4.3
Franklin School District,0530011,Franklin Elementary School,0530111,*
Glastonbury School District,0540011,Buttonball Lane School,0540211,2.4
Glastonbury School District,0540011,Eastbury School,0540311,*
Glastonbury School District,0540011,Gideon Welles School,0540811,2.7
Glastonbury School District,0540011,Glastonbury High School,0546111,4.3
Glastonbury School District,0540011,Hebron Avenue School,0540411,1.5
Glastonbury School District,0540011,Hopewell School,0540611,2.1
Glastonbury School District,0540011,Naubuc School,0540711,5.2
Glastonbury School District,0540011,Nayaug Elementary School,0540911,2.8
Glastonbury School District,0540011,Smith Middle School,0545211,3.7
Granby School District,0560011,Frank M. Kearns Primary School,0560111,5.6
Granby School District,0560011,Granby Memorial High School,0566111,4.1
Granby School District,0560011,Granby Memorial Middle School,0565111,7.1
Granby School District,0560011,Kelly Lane Intermediate School,0560411,2.4
Granby School District,0560011,Wells Road Intermediate School,0560311,3.7
Greenwich School District,0570011,Central Middle School,0575111,7.8
Greenwich School District,0570011,Cos Cob School,0570211,4.7
Greenwich School District,0570011,Eastern Middle School,0575211,5.6
Greenwich School District,0570011,Glenville School,0570411,6.9
Greenwich School District,0570011,Greenwich High School,0576111,6.4
Greenwich School District,0570011,Hamilton Avenue School,0570511,7.4
Greenwich School District,0570011,International School At Dundee,0571311,3
Greenwich School District,0570011,Julian Curtiss School,0570311,4.1
Greenwich School District,0570011,New Lebanon School,0570611,4.4
Greenwich School District,0570011,North Mianus School,0570711,3.1
Greenwich School District,0570011,North Street School,0570811,3
Greenwich School District,0570011,Old Greenwich School,0570911,4.7
Greenwich School District,0570011,Parkway School,0571111,10.1
Greenwich School District,0570011,Riverside School,0571011,2.1
Greenwich School District,0570011,Western Middle School,0575311,7.6
Griswold School District,0580011,Griswold Elementary School,0580311,6.6
Griswold School District,0580011,Griswold High School,0586211,16.9
Griswold School District,0580011,Griswold Middle School,0585111,10.5
Groton School District,0590011,Carl C. Cutler Middle School,0595311,9
Groton School District,0590011,Catherine Kolnaski Magnet School,0590311,23.9
Groton School District,0590011,Catherine Kolnaski Magnet School,0592011,23.9
Groton School District,0590011,Charles Barnum School,0591811,8.6
Groton School District,0590011,Fitch Middle School,0595111,10.3
Groton School District,0590011,Mary Morrisson School,0591711,8.6
Groton School District,0590011,Northeast Academy Elementary School,0591911,3.4
Groton School District,0590011,Pleasant Valley School,0591211,11.2
Groton School District,0590011,Robert E. Fitch High School,0596111,24.6
Groton School District,0590011,S. B. Butler School,0590111,6.7
Groton School District,0590011,West Side Middle School,0595211,12.4
Guilford School District,0600011,A. Baldwin Middle School,0600711,4.5
Guilford School District,0600011,A. W. Cox School,0600611,3.1
Guilford School District,0600011,Calvin Leete School,0600411,3.6
Guilford School District,0600011,E. C. Adams Middle School,0605111,8
Guilford School District,0600011,Guilford High School,0606111,9.7
Guilford School District,0600011,Guilford Lakes School,0600211,2.7
Guilford School District,0600011,Melissa Jones School,0600311,3.3
Hamden School District,0620011,Bear Path School,0621211,4.2
Hamden School District,0620011,Church Street School,0620211,14.1
Hamden School District,0620011,Dunbar Hill School,0620311,8.7
Hamden School District,0620011,Hamden High School,0626111,19.2
Hamden School District,0620011,Hamden Middle School,0625211,14.6
Hamden School District,0620011,Helen Street School,0620411,8.7
Hamden School District,0620011,Ridge Hill School,0621111,14.2
Hamden School District,0620011,Shepherd Glen School,0620111,10.9
Hamden School District,0620011,Spring Glen School,0621011,6.6
Hamden School District,0620011,West Woods School,0621411,5.3
Hampton School District,0630011,Hampton Elementary School,0630111,5.8
Hartford School District,0640011,Asian Studies Academy,0640711,27.5
Hartford School District,0640011,Batchelder School,0640411,16.8
Hartford School District,0640011,Breakthrough II Elementary School,0643511,11
Hartford School District,0640011,Breakthrough Magnet School,0643311,4.4
Hartford School District,0640011,Bulkeley High School Lower School,0646111,47.6
Hartford School District,0640011,Bulkeley High School Upper School,0647111,47.9
Hartford School District,0640011,Burns Latino Studies Academy,0640611,49.3
Hartford School District,0640011,Burr School,0642311,25.8
Hartford School District,0640011,Capital Preparatory Magnet School,0646911,*
Hartford School District,0640011,Clark School,0642411,40
Hartford School District,0640011,Classical Magnet School,0646411,3.2
Hartford School District,0640011,Culinary Arts Academy,0646011,56
Hartford School District,0640011,Dr. James H Naylor/CCSU Leadership Academy,0641411,18.3
Hartford School District,0640011,Dr. Joseph Bellizzi Middle School,0645311,19
Hartford School District,0640011,Dr. Ramon E. Betances Early Reading Lab,0642811,42.1
Hartford School District,0640011,Environmental Sciences Magnet School at Mary M Hooker,0640911,11.8
Hartford School District,0640011,Expeditionary Learning Academy at Moylan School,0643211,28.6
Hartford School District,0640011,Fred D. Wish Museum School,0642211,25.5
Hartford School District,0640011,Global Communications Academy,0643611,14.4
Hartford School District,0640011,HPHS Academy of Engineering and Green Technology,0647211,64.4
Hartford School District,0640011,HPHS Academy of Nursing and Health Science,0647511,58.7
Hartford School District,0640011,HPHS Freshmen Academy,0647311,62.2
Hartford School District,0640011,HPHS Law and Government Academy,0647411,45.7
Hartford School District,0640011,Hartford Magnet Trinity College Academy,0645411,5.1
Hartford School District,0640011,Hartford Transitional Learning Academy (Elementary),0649011,40.6
Hartford School District,0640011,High School Inc.,0647611,55.4
Hartford School District,0640011,Journalism and Media Academy Magnet School,0647711,59.7
Hartford School District,0640011,Kennelly School,0641011,17.7
Hartford School District,0640011,M. D. Fox Elementary School,0640811,21.6
Hartford School District,0640011,M. L. King School,0641611,33.7
Hartford School District,0640011,McDonough Expeditionary Learning School,0641211,44.4
Hartford School District,0640011,Milner Elementary School,0641911,37.4
Hartford School District,0640011,Montessori Magnet School at Annie Fisher,0643711,10.1
Hartford School District,0640011,Noah Webster Micro Society School,0642011,8.2
Hartford School District,0640011,OPPortunity High School,0647811,75
Hartford School District,0640011,Parkville Community School,0641511,23.6
Hartford School District,0640011,Pathways Academy of Technology and Design,0646611,23.7
Hartford School District,0640011,R.J. Kinsella Magnet School of Performing Arts,0641111,5.5
Hartford School District,0640011,Renzulli Academy,0644011,23.4
Hartford School District,0640011,SAND School,0640111,38.9
Hartford School District,0640011,STEM Magnet School at Annie Fisher,0642511,3.9
Hartford School District,0640011,Sanchez School,0643011,33.5
Hartford School District,0640011,Sarah J Rawson Middle Grades Academy,0645611,13.8
Hartford School District,0640011,Sarah J. Rawson Elementary School,0641711,25.9
Hartford School District,0640011,Simpson-Waverly School,0642611,*
Hartford School District,0640011,Sports and Medical Sciences Academy,0646511,12.9
Hartford School District,0640011,University High of Science and Engineering,0646711,14.4
Hartford School District,0640011,West Middle School,0642111,18.3
Hartland School District,0650011,Hartland School,0650111,*
Hebron School District,0670011,Gilead Hill School,0670211,5.1
Hebron School District,0670011,Hebron Elementary School,0670111,2.9
Highville Charter School District,2860013,Highville Charter School,2860113,4.4
Integrated Day Charter School District,2640013,Integrated Day Charter School,2640113,6.8
Interdistrict School for Arts and Comm District,2650013,Interdistrict School For Arts And Communication,2655113,8.8
Jumoke Academy District,2610013,Jumoke Academy,2610113,2.5
Kent School District,0680011,Kent Center School,0680111,6.8
Killingly School District,0690011,Killingly Central School,0690111,7.4
Killingly School District,0690011,Killingly High School,0696111,24.6
Killingly School District,0690011,Killingly Intermediate School,0695211,12.9
Killingly School District,0690011,Killingly Memorial School,0690311,5.4
Learn,2450014,Connecticut River Academy,2456014,22.9
Learn,2450014,Dual Language & Arts Magnet Middle School,2455014,54.3
Learn,2450014,Learn Special Education,2459014,*
Learn,2450014,Marine Science Magnet High School of Southeastern Connecticut,2456114,*
Learn,2450014,Regional Multicultural Magnet School,2450114,4.7
Learn,2450014,The Friendship School,2450214,21.4
Lebanon School District,0710011,Lebanon Elementary School,0710111,*
Lebanon School District,0710011,Lebanon Middle School,0715111,5.2
Lebanon School District,0710011,Lyman Memorial High School,0716211,18.8
Ledyard School District,0720011,Gales Ferry School,0720211,0
Ledyard School District,0720011,Gallup Hill School,0720411,*
Ledyard School District,0720011,Juliet W. Long School,0720311,*
Ledyard School District,0720011,Ledyard Center School,0720111,4.5
Ledyard School District,0720011,Ledyard High School,0726111,15.4
Ledyard School District,0720011,Ledyard Middle School,0725111,9.4
Lisbon School District,0730011,Community Connection - The Big Picture High School,0736011,*
Lisbon School District,0730011,Lisbon Central School,0730111,4.8
Litchfield School District,0740011,Center School,0740211,4
Litchfield School District,0740011,Litchfield High School,0746111,8.7
Litchfield School District,0740011,Litchfield Intermediate School,0740311,5
Madison School District,0760011,Daniel Hand High School,0766111,5.5
Madison School District,0760011,Dr. Robert H. Brown Middle School,0760611,2.9
Madison School District,0760011,Island Avenue Elementary School,0760211,*
Madison School District,0760011,J. Milton Jeffrey Elementary School,0760111,2.7
Madison School District,0760011,Kathleen H. Ryerson Elementary School,0760311,2.4
